GoalZone,GoalTime,TransitionCount,TriggerZone,TriggerTime,TotalTriggerOccurrences,TransitionPercentage,GoalTimeHourly,GoalTime10Min,Granularity
0.0_to_0.236,1320,8,-1.0_to_-0.786,930,152,5.26,1320,1320,10-Minute
0.0_to_0.236,1330,7,-1.0_to_-0.786,930,152,4.61,1330,1330,10-Minute
0.0_to_0.236,1340,7,-1.0_to_-0.786,930,152,4.61,1340,1340,10-Minute
0.0_to_0.236,1350,8,-1.0_to_-0.786,930,152,5.26,1350,1350,10-Minute
0.0_to_0.236,1400,9,-1.0_to_-0.786,930,152,5.92,1400,1400,10-Minute
0.0_to_0.236,1410,7,-1.0_to_-0.786,930,152,4.61,1410,1410,10-Minute
0.0_to_0.236,1420,8,-1.0_to_-0.786,930,152,5.26,1420,1420,10-Minute
0.0_to_0.236,1430,7,-1.0_to_-0.786,930,152,4.61,1430,1430,10-Minute
0.0_to_0.236,1440,10,-1.0_to_-0.786,930,152,6.58,1440,1440,10-Minute
0.0_to_0.236,1450,11,-1.0_to_-0.786,930,152,7.24,1450,1450,10-Minute
0.0_to_0.236,1500,13,-1.0_to_-0.786,930,152,8.55,1500,1500,10-Minute
0.0_to_0.236,1510,9,-1.0_to_-0.786,930,152,5.92,1510,1510,10-Minute
0.0_to_0.236,1520,11,-1.0_to_-0.786,930,152,7.24,1520,1520,10-Minute
0.0_to_0.236,1530,13,-1.0_to_-0.786,930,152,8.55,1530,1530,10-Minute
0.0_to_0.236,1540,14,-1.0_to_-0.786,930,152,9.21,1540,1540,10-Minute
0.0_to_0.236,1550,16,-1.0_to_-0.786,930,152,10.53,1550,1550,10-Minute
0.236_to_0.382,940,1,-1.0_to_-0.786,930,152,0.66,0940,0940,10-Minute
0.236_to_0.382,950,1,-1.0_to_-0.786,930,152,0.66,0950,0950,10-Minute
0.236_to_0.382,1000,1,-1.0_to_-0.786,930,152,0.66,1000,1000,10-Minute
0.236_to_0.382,1010,1,-1.0_to_-0.786,930,152,0.66,1010,1010,10-Minute
0.236_to_0.382,1050,1,-1.0_to_-0.786,930,152,0.66,1050,1050,10-Minute
0.236_to_0.382,1100,1,-1.0_to_-0.786,930,152,0.66,1100,1100,10-Minute
0.236_to_0.382,1110,2,-1.0_to_-0.786,930,152,1.32,1110,1110,10-Minute
0.236_to_0.382,1120,2,-1.0_to_-0.786,930,152,1.32,1120,1120,10-Minute
